label,superclass_taxo_20,superclass_morpho_23,superclass_taxo_30,superclass_ecotaxa_20,count,lineage
Scinidae,Eumalacostraca,fusiform_opaque_appendages,Amphipoda,otherliving,19,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Malacostraca>Eumalacostraca>Amphipoda>Hyperiidea>Scinidae
Scyphozoa,non siphonophorae cnidaria,sphere_semi-opaque_appendages,Scyphozoa,otherliving,15,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Cnidaria>Scyphozoa
Siphonophorae,Siphonophorae,elongated_transparent_no-appendages,Siphonophorae,otherliving,114,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Cnidaria>Hydrozoa>Hydroidolina>Siphonophorae
Solmundella bitentaculata,non_siphonophoran_hydrozoa,sphere_transparent_appendages,non_siphonophoran_hydrozoa,otherliving,32,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Cnidaria>Hydrozoa>Trachylinae>Narcomedusae>Aeginidae>Solmundella>Solmundella bitentaculata
Swima,Annelida,ellipsoide_opaque_no-appendages,Annelida,otherliving,221,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Annelida>Polychaeta>Sedentaria>Canalipalpata>Terebellida>Swima
Thecosomata,Mollusca,triangle_semi-opaque_no-appendages,Mollusca,otherliving,17,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Mollusca>Gastropoda>Heterobranchia>Euthyneura>Euopisthobranchia>Thecosomata
Tomopteridae,Annelida,fusiform_transparent_appendages,Annelida,otherliving,41,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Annelida>Polychaeta>Errantia>Tomopteridae
Trachymedusae,non siphonophorae cnidaria,sphere_transparent_appendages,non siphonophoran hydrozoa,otherliving,36,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Cnidaria>Hydrozoa>Trachylinae>Trachymedusae
antenna<Calanoida,Eumalacostraca,elongated_opaque_appendages,antenna_Crustacea,Calanoida,338,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda>Calanoida>antenna
artefact,artefact,other,artefact,artefact,30095,not-living>artefact
bubble,artefact,other,artefact,artefact,44,not-living>artefact>bubble
chain<Salpida,non appendicularia tunicata,fusiform_transparent_appendages,Salpida,Salpida,147,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Tunicata>Thaliacea>Salpida>chain
cloud,Rhizaria,sphere_semi-opaque_no-appendages,Collodaria,Collodaria,242,living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Collodaria>cloud
colonial<Aulosphaeridae,Rhizaria,sphere_transparent_no-appendages,Phaeodaria,Aulacanthidae,10,living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeosphaerida>Aulosphaeridae>colonial
colonial<Coelodendridae,Rhizaria,sphere_semi-opaque_appendages,Phaeodaria,Rhizaria,36,living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeodendrida>Coelodendridae>colonial
copepoda eggs,Copepoda,ellipsoide_opaque_appendages,Copepoda,Calanoida,190,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda>copepoda eggs
crystal,artefact,other,artefact,artefact,3770,not-living>crystal
darksphere,other_living,sphere_opaque_no-appendages,other_living,otherliving,340,living>other>othertocheck>sphere>dark
dead<house,Appendicularia,sphere_transparent_no-appendages,Appendicularia,Appendicularia,900,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Tunicata>Appendicularia>house>dead
detritus,detritus,other,detritus,detritus,504634,not-living>detritus
echinopluteus,Echinodermata,sphere_opaque_appendages,Echinodermata,otherliving,22,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Echinodermata>Echinoidea>echinopluteus
egg sac<egg,other_living,sphere_semi-opaque_no-appendages,other_living,otherliving,72,living>other>egg>egg sac
fiber,fiber,elongated_semi-opaque_no-appendages,fiber,fiber,32524,not-living>detritus>fiber
filament,fiber,elongated_semi-opaque_no-appendages,fiber,filament,3306,not-living>detritus>filament
fuzzy,Rhizaria,sphere_semi-opaque_no-appendages,Acantharia,Acantharia,184,living>Eukaryota>Harosa>Rhizaria>Acantharia>fuzzy
larvae<Echinodermata,Echinodermata,sphere_opaque_appendages,Echinodermata,otherliving,12,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Echinodermata>larvae
like<Copepoda,Copepoda,ellipsoide_opaque_no-appendages,like_Copepoda,Calanoida,2712,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda>like
like<Rhizaria,Rhizaria,sphere_semi-opaque_no-appendages,like_Rhizaria,Rhizaria,509,living>Eukaryota>Harosa>Rhizaria>like
ophiopluteus,Echinodermata,sphere_opaque_appendages,Echinodermata,otherliving,70,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Echinodermata>Ophiuroidea>ophiopluteus
other<living,other_living,other,other_living,otherliving,1572,living>other
puff,Trichodesmium,sphere_opaque_appendages,Trichodesmium,puff,7427,living>Bacteria>Cyanobacteria>Cyanophyceae>Trichodesmium>puff
reflection,artefact,sphere_opaque_appendages,artefact,artefact,4592,not-living>artefact>reflection
small<Cnidaria,non_siphonophoran_hydrozoa,sphere_transparent_no-appendages,non_siphonophoran_hydrozoa,small_Cnidaria,908,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Cnidaria>Hydrozoa>small-bell
solitaryblack,Rhizaria,sphere_opaque_no-appendages,Rhizaria,Rhizaria,149,living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Collodaria>solitaryblack
solitaryglobule,Rhizaria,sphere_transparent_no-appendages,Rhizaria,solitaryglobule,245,living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Collodaria>solitaryglobule
spiky<Acantharia,Rhizaria,sphere_opaque_appendages,Rhizaria,Acantharia,201,living>Eukaryota>Harosa>Rhizaria>Acantharia>spiky
spiky<Coelodendridae,Rhizaria,sphere_semi-opaque_appendages,Rhizaria,Rhizaria,108,living>Eukaryota>Harosa>Rhizaria>Cercozoa>Thecofilosea>Phaeodaria>Phaeodendrida>Coelodendridae>spiky
star<Acantharia,Rhizaria,sphere_semi-opaque_appendages,Rhizaria,Acantharia,411,living>Eukaryota>Harosa>Rhizaria>Acantharia>star
t004,Rhizaria,sphere_transparent_no-appendages,like_Rhizaria,otherliving,249,temporary>t004
tentacle<Cnidaria,non siphonophorae cnidaria,elongated_semi-opaque_no-appendages,tentacle_gelatinous,otherliving,371,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Cnidaria>tentacle
tentacle<Ctenophora,non siphonophorae cnidaria,elongated_opaque_no-appendages,tentacle_gelatinous,otherliving,42,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Ctenophora>tentacle
tuff,Trichodesmium,elongated_opaque_appendages,Trichodesmium,tuff,4863,living>>Cyanophyceae>Trichodesmium>tuff
veliger,Mollusca,sphere_semi-opaque_appendages,Mollusca,otherliving,11,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Mollusca>veliger
